original_category,new_categories,people
Present Day,Present Day,
Time Travel,Time Travel,
Sandy Hook Investigation,Sandy Hook Investigation,
Project Camelot,Project Camelot;Wacky Wednesday,
Tea Party Investigation,Tea Party Investigation,
2015 Investigation,2015 Investigation,
Special report,Special Edition,
Jim Bakker,Wacky Wednesday,Jim Bakker
Jordan Takes the Wheel,Jordan Takes the Wheel,
Bill Cooper,Wacky Wednesday,Bill Cooper
2016 Retrospective,2016 Investigation,
Endgame,Documentary,
Obama Deception,Documentary,
present Day,Present Day,
Formulaic Objections,Formulaic Objections,
Joe Rogan,Special Edition,Joe Rogan
Press Conference,Present Day,
Megyn Kelly Interview,InfoWars Interview,Megyn Kelly
Mike Rotondo,InfoWars Interview;Present Day,
Celebrity Appearance,InfoWars Interview,
Coach Dave,Wacky Wednesday,Dave Daubenmire
LIONEL,Wacky Wednesday,Lionel
Kevin Moore,Wacky Wednesday,Kevin Moore
2016 Election,2016 Investigation,
Caravan,Present Day,
Nick Fuentes,Deep Dive,Nick Fuentes
Reset Wars,Special Edition,
Pilot,Present Day,
Y2K,Time Travel,
Alex Background,Deep Dive,
Inauguration Speech,Present Day,
Present Day/Dennis Montgomery,Deep Dive;Present Day,Dennis Montgomery
How Not to Cover Alex,Deep Dive,
30 Hour Marathon,Special Edition,
Pizzagate,Deep Dive,
Bohemian Grove,Deep Dive,
Protocols Of The Elders Of Zion,Deep Dive,
Alex on Russian Media,Deep Dive,
Drunk Special Report,Present Day,
Piers Morgan Interview,InfoWars Interview,Piers Morgan
David Rothschild,InfoWars Interview,David Rothschild
David Lynch,InfoWars Interview,David Lynch
Minisode,InfoWars Interview,
Operation Paul Revere,Present Day,
Post Tribulation Rapture,Deep Dive,
Wikileaks Press Conference,Time Travel,
St Patrick's Day Special Report,Special Edition,
Charlie Sheen,InfoWars Interview,Charlie Sheen
Aaron Russo,InfoWars Interview,Aaron Russo
WWE's Kane,InfoWars Interview,
Bill Ayers,InfoWars Interview,Bill Ayers
Live Show,Live Show;Time Travel,
tea Party Investigation,Tea Party Investigation,
Roger Stone,Time Travel,Roger Stone
Jim Bakker Time Travel,Time Travel;Wacky Wednesday,Jim Bakker
Jared Holt Bonus Episode,Knowledge Fight Interview,Jared Holt
project Camelot,Project Camelot;Wacky Wednesday,
Hotel Interview,Special Edition,
Kavanaugh Confirmation Live Stream,Present Day,
Glenn Beck's George Soros Expose,Time Travel,Glenn Beck
Old Alex Clips,Time Travel,
Reverend Manning,Deep Dive,James David Manning
Coach Dave/ Larry Nichols,Wacky Wednesday,Larry Nichols;Dave Daubenmire
Alex AMA,Present Day;Special Edition,
Present Day/LIONEL,Present Day;Wacky Wednesday,Lionel
Stefan Molyneux,Deep Dive,
Qanon Anonymous Crossover,Knowledge Fight Interview;Wacky Wednesday,
Bilderberg Speeches,Time Travel;Wacky Wednesday,
Steve Pieczenik,Deep Dive,Steve Pieczenik
Present Day/Stefan Molyneux,Present Day,Stefan Molyneux
Coast to Coast,Wacky Wednesday,
Grab Bag Minisode; Bill Cooper,Present Day;Wacky Wednesday,Bill Cooper
Ghosts of Caucuses Past,Time Travel,
Robert David Steele,Wacky Wednesday,Robert David Steele
CPAC,Present Day,
Super Alpha Male Championship,Present Day,
Donk's Dojo,Present Day;Wacky Wednesday,
Millie Weaver - Shadowgate,Documentary,Millie Weaver
Howard Hughes,Project Camelot;Wacky Wednesday,Howard Hughes
Debate coverage,Present Day,
Joe Rogan on InfoWars,InfoWars Interview;Present Day,Joe Rogan
12/12 Rallies,Present Day,
XMAS Report Rebuttal,Present Day;Special Edition,
Inauguration,Present Day,
Present Day/ Stevie P Faces the Music,Present Day,Steve Pieczenik
Commercials,Present Day;Special Edition,
Noam Chomsky,InfoWars Interview,Noam Chomsky
Sandy Hook Response,Formulaic Objections,
Mike Rothschild,Knowledge Fight Interview,Mike Rothschild
Spooktacular,Special Edition,
Patriot Purge,Documentary,
Jon Ronson,Knowledge Fight Interview,Jon Ronson
Andew Torrez,Knowledge Fight Interview,Andrew Torrez
Stewart Rhodes,InfoWars Interview;Present Day,Stewart Rhodes
InfoWars Roulette,Special Edition,
Spiritual Correction,Announcement,
TWTWYTT,Wacky Wednesday;Deep Dive,Marty DeRosa
Halloween Story,Deep Dive,
No One Is Mad At The Crew,Time Travel,
