title,episode_number,coverage_start_date,coverage_end_date,coverage_date
"1: January 2, 2017",1,"January 2, 2017","January 2, 2017","January 2, 2017"
"2: December 31, 1999 (Y2K)",2,,,
3: The Secret of 2017,3,,,
4: Research and Stand Up,4,,,
"5: January 19, 2017",5,"January 19, 2017","January 19, 2017","January 19, 2017"
6: Inauguration Speech Recap,6,,,
"7: January 23-24, 2017",7,"January 23, 2017","January 24, 2017",
"8: January 26-27, 2017",8,"January 26, 2017","January 27, 2017",
9: Joe Rogan Appearance,9,,,
"10: February 6, 2017",10,"February 6, 2017","February 6, 2017","February 6, 2017"
InfoWars Roulette #1,S001,,,
"11: February 10, 2017",11,"February 10, 2017","February 10, 2017","February 10, 2017"
12: Jon Rappoport,12,,,
"13: February 14, 2017",13,"February 14, 2017","February 14, 2017","February 14, 2017"
"14: February 17, 2017",14,"February 17, 2017","February 17, 2017","February 17, 2017"
"15: February 20-21, 2017",15,"February 20, 2017","February 21, 2017",
"16: February 24, 2017",16,"February 24, 2017","February 24, 2017","February 24, 2017"
"17: February 7, 2017",17,"February 7, 2017","February 7, 2017","February 7, 2017"
"18: March 1, 2017/Super Bowl Bonus",18,"March 1, 2017","March 1, 2017","March 1, 2017"
"19: March 3, 2017",19,"March 3, 2017","March 3, 2017","March 3, 2017"
20: March 6 & Celebrity Cameos,20,"March 6, 2017","March 6, 2017","March 6, 2017"
"21: March 9, 2017",21,"March 9, 2017","March 9, 2017","March 9, 2017"
"22: March 14, 2017",22,"March 14, 2017","March 14, 2017","March 14, 2017"
"23: March 16-17, 2017",23,"March 16, 2017","March 17, 2017",
"24: March 23, 2017",24,"March 23, 2017","March 23, 2017","March 23, 2017"
25: Dennis Montgomery Investigation,25,"March 20, 2017","March 24, 2017",
26: March 30 (Special Report),26,"March 30, 2017","March 30, 2017","March 30, 2017"
"27: March 31, 2017",27,"March 31, 2017","March 31, 2017","March 31, 2017"
28: How Not To Cover Alex Jones,28,,,
"29: April 11, 2017",29,"April 11, 2017","April 11, 2017","April 11, 2017"
"30: April 14, 2017",30,"April 14, 2017","April 14, 2017","April 14, 2017"
"31: April 17, 2017",31,"April 17, 2017","April 17, 2017","April 17, 2017"
"32: April 21, 2017",32,"April 21, 2017","April 21, 2017","April 21, 2017"
"33: April 22, 2017",33,"April 22, 2017","April 22, 2017","April 22, 2017"
"34: April 25, 2017",34,"April 25, 2017","April 25, 2017","April 25, 2017"
35: Custody Press Conference,35,,,
"36: June 29, 2015",36,"June 29, 2015","June 29, 2015","June 29, 2015"
"37: May 1, 2017",37,"May 1, 2017","May 1, 2017","May 1, 2017"
38: 30 Hour Marathon Coverage,38,,,
39: Jack Posobiec...Ya Busted,39,,,
"40: May 10, 2017",40,"May 10, 2017","May 10, 2017","May 10, 2017"
"41: May 12, 2017",41,"May 12, 2017","May 12, 2017","May 12, 2017"
Spiritual Correction,S003,,,
"42: March 11, 2014",42,"March 11, 2014","March 11, 2014","March 11, 2014"
"43: May 17, 2017",43,"May 17, 2017","May 17, 2017","May 17, 2017"
"44: May 22, 2017",44,"May 22, 2017","May 22, 2017","May 22, 2017"
"45: May 25, 2017",45,"May 25, 2017","May 25, 2017","May 25, 2017"
"46: June 18, 2015",46,"June 18, 2015","June 18, 2015","June 18, 2015"
"47: June 19-July 5, 2015",47,"June 19, 2015","July 5, 2015",
"48: May 31, 2017",48,"May 31, 2017","May 31, 2017","May 31, 2017"
49: July 6-13. 2015,49,"July 6, 2015","July 13, 2015",
50: Bohemian Grove...Ya Busted,50,,,
"51: June 6, 2017",51,"June 6, 2017","June 6, 2017","June 6, 2017"
"52: July 14-21, 2015",52,"July 14, 2015","July 21, 2015",
"53: June 12, 2017",53,"June 12, 2017","June 12, 2017","June 12, 2017"
54: Megyn Kelly Interview Pt. 1,54,,,
55: Megyn Kelly Interview Pt. 2,55,,,
"56: July 22-Aug 11, 2015",56,"July 22, 2015","August 11, 2015",
"57: August 12-16, 2015",57,"August 12, 2015","August 16, 2015",
"58: June 23, 2017",58,"June 23, 2017","June 23, 2017","June 23, 2017"
"59: August 17-18, 2015",59,"August 17, 2015","August 18, 2015",
60: Mars Colonies,60,,,
"61: July 5, 2017",61,"July 5, 2017","July 5, 2017","July 5, 2017"
"62: August 19-26, 2015",62,"August 19, 2015","August 26, 2015",
TWTWYTT Special,S004,,,
"63: July 12, 2017",63,"July 12, 2017","July 12, 2017","July 12, 2017"
"64: Aug 27-Sep 1, 2015",64,"August 27, 2015","September 1, 2015",
"65: September 2-4, 2015",65,"September 2, 2015","September 4, 2015",
"66: September 6-17, 2015",66,"September 6, 2015","September 17, 2015",
67: Protocols of Zion,67,,,
"68: September 19-28, 2015",68,"September 19, 2015","September 28, 2015",
"69: August 1, 2017",69,"August 1, 2017","August 1, 2017","August 1, 2017"
"70: Sep 29- Oct 3, 2015",70,"September 29, 2015","October 3, 2015",
"71: August 4, 2017",71,"August 3, 2017","August 4, 2017",
"72: August 9, 2017",72,"August 9, 2017","August 9, 2017","August 9, 2017"
"73: August 12, 2017",73,"August 12, 2017","August 12, 2017","August 12, 2017"
"74: October 4-6, 2015",74,"October 4, 2015","October 6, 2015",
"75: January 7, 2011",75,"January 7, 2011","January 7, 2011","January 7, 2011"
"76: October 7-11, 2015",76,"October 7, 2015","October 11, 2015",
"77: August 23, 2017",77,"August 23, 2017","August 23, 2017","August 23, 2017"
"78: October 12-15, 2015",78,"October 12, 2015","October 15, 2015",
79: Meet Captain Mark Richards,79,,,
"80: October 16-26, 2015",80,"October 16, 2015","October 26, 2015",
"81: September 6-7, 2017",81,"September 6, 2017","September 7, 2017",
"82: Oct. 27-Nov. 9, 2015",82,"October 27, 2015","November 9, 2015",
"83: November 10-12, 2015",83,"November 10, 2015","November 11, 2015",
"84: December 21, 2012",84,"December 21, 2012","December 21, 2012","December 21, 2012"
"85: September 20-21, 2017",85,"September 20, 2017","September 21, 2017",
"86: September 22, 2017",86,"September 22, 2017","September 22, 2017","September 22, 2017"
The Halloween Story,S005,"August 6, 2015","August 6, 2015","August 6, 2015"
87: Mark Richards Revisited,87,,,
88: The 2015 Investigation Ends,88,"December 16, 2015","December 30, 2015",
"89: December 31, 2015",89,"December 31, 2015","December 31, 2015","December 31, 2015"
"90: October 10, 2017",90,"October 10, 2017","October 10, 2017","October 10, 2017"
"91: October 11, 2017",91,"October 11, 2017","October 11, 2017","October 11, 2017"
"92: October 13 & 16, 2017",92,"October 13, 2017","October 16, 2017",
93: 2015 Investigation Last Looks,93,,,
"94: October 19, 2017",94,"October 19, 2017","October 19, 2017","October 19, 2017"
95: Project Camelot Break,95,,,
"96: October 22-23, 2017",96,"October 22, 2017","October 23, 2017",
"97: October 25, 2017",97,"October 25, 2017","October 25, 2017","October 25, 2017"
"98: May 2-3, 2012",98,"May 2, 2012","May 3, 2012",
"99: November 1, 2017",99,"November 1, 2017","November 1, 2017","November 1, 2017"
"100: January 6-7, 2016",100,"January 6, 2016","January 7, 2016",
"101: January 11, 2016",101,"November 11, 2016","November 11, 2016","November 11, 2016"
102: Alex On Russian Media,102,,,
"103: January 17, 2016",103,"January 17, 2016","January 17, 2016","January 17, 2016"
"104: November 20, 2017",104,"November 20, 2017","November 20, 2017","November 20, 2017"
"105: March 18, 2014",105,"March 18, 2014","March 18, 2014","March 18, 2014"
106: Drunk Special Report,106,,,
"107: December 12, 2014",107,"December 12, 2014","December 12, 2014","December 12, 2014"
"108: November 30, 2017",108,"November 30, 2017","November 30, 2017","November 30, 2017"
"109: December 4, 2017",109,"December 4, 2017","December 4, 2017","December 4, 2017"
"110: December 5, 2017",110,"December 5, 2017","December 5, 2017","December 5, 2017"
"111: January 21-22, 2016",111,"January 21, 2016","January 22, 2016",
"112: December 15, 2017",112,"December 15, 2017","December 15, 2017","December 15, 2017"
"113: February 21-23, 2014",113,"February 21, 2014","February 23, 2014",
114: Piers Morgan Interview,114,"January 27, 2013","January 27, 2013","January 27, 2013"
"115: January 2, 2018",115,"January 2, 2018","January 2, 2018","January 2, 2018"
"116: January 5, 2018",116,"January 5, 2018","January 5, 2018","January 5, 2018"
"117: January 8, 2018",117,"January 8, 2018","January 8, 2018","January 8, 2018"
"118: January 10-11, 2018",118,"January 10, 2018","January 11, 2018",
"119: August 16, 2012",119,"August 16, 2012","August 16, 2012","August 16, 2012"
"120: January 27, 2016",120,"January 27, 2016","January 27, 2016","January 27, 2016"
"121: April 1-2, 2013",121,"April 1, 2013","April 2, 2013",
"122 LIVE: March 1-2, 2012",122,"March 1, 2012","March 2, 2012",
