entity_name,entity_count,entity_type_slug,entity_origin_slug
Alex Jones,455,PERSON;ORG,230a;509;143;76;258;426;100;361;70;374;179;1;588;542;27;355;333;14;284;46;26;182;300;484;278;266;292;555;155;205;93;518;460;52;59;138;102;580;539;78;82;136;254;526;246;229;225;651;134;88;568;389;560;497;530;454;32;15;204;419;369;129;288;357;176;79;160;21;55;274;265;203;62;168;106;20;248;330;281;158;603;47;96;49;579;255;472;214;189;545;256;427;233;386;468;504;40;565;348;124;151;128;98;399;445;556;449;68;202;541;494;66;366;125;341;75;245;493;576;383;506;388;152;261;471;422;50;283;538;119;325;440;162;251;481;425;130a;327;351;269;650;4;240;285;309;37;505;36;9;65;145;324;56;213;458;521;148;200;311;264;489;405;95;459;547;157;226;412;110;533;591;101;485;42;360;480;123;294;413;313;456;5;646;297;24;120;316;532;10;548;295;173;279;61;498;121;298;80;463;420;385;528;259;190;243;291;303;57;552;253;35;436;212;210;421;482;172;38;315;141;395;127;431;359;268;629;469;376;379;544;69;209;559;428;234;7;363;262;368;516;174;135;511;84;267;53;223;31;206;54;450;362;549;161;192;567;371;434;28;16;242;652;564;490;618;188;570;343;592;289;149;273;185;322;44;33;525;74;257;529;318;150;381;215;87;507;414;540;118;329;175;73;535;398;126;391;228;609;89;531;441;328;462;164;345;501;293;3;94;304;64;305;587;165;280;8;194;410;627;6;109;107;139;222;641;41;453;515;130d;13;144;282;400;83;606;99;350;77;464
Alex's True Story,271,ORG,62;509;208;533;101;143;433;586;594;485;106;123;91;100;456;618;455;500;120;1;645;548;461;545;635;170;498;597;427;632;563;74;386;529;19;121;495;150;466;510;562;424;215;348;540;300;484;556;648;555;277;155;494;552;551;577;436;520;245;448;416;506;388;421;391;97;423;598;496;103;580;127;328;78;82;345;364;473;137;501;406;146;224;3;417;354;323;438;425;469;167;508;165;327;544;428;109;560;154;309;407;487;530;486;453;537;516;332;380;86;619;108;457;519;83;115;288;99;467;502;522;557;160;450;412;265;117;435;172
Globalists,190,NORP;ORG;WORK_OF_ART,509;208;143;433;586;258;331;192;227;590;603;413;47;426;100;618;188;550;382;343;67;461;113;170;498;169;74;186;19;121;150;40;424;320;147;393;46;528;151;259;399;540;278;353;648;202;329;321;57;277;155;552;551;626;436;210;75;356;126;335;416;506;388;52;609;138;152;315;423;97;598;640;474;141;534;523;136;283;517;230b;119;440;146;620;404;251;230d;481;425;376;379;508;544;209;627;651;234;349;198;363;389;306;317;505;636;36;554;239;537;145;429;56;392;515;332;380;13;314;337;108;148;199;340;444;357;467;653;624;350;77;116;17;533
Sandy Hook,132,PERSON;ORG,152;333;143;320;352;373;641;331;310;301;239;283;590;294;603;387;312;413;242;272;278;308;432;303;49;314;618;266;188;268;292;297;311;305;321;270;344;275;84;602;267;338;384;289;339;357;269;209;647;279;276;33;341;113;428;635;336;349;335;346;93;363;226;389;265;121;495
Roger Stone,115,PERSON,152;463;101;143;309;573;40;141;565;112;471;625;72;41;248;612;554;259;82;452;473;145;181;399;142;406;290;146;408;242;516;456;546;458;402;620;652;162;646;202;135;251;455;401;457;495;57;639;649;370;264;508;99;165;149;366;472;551;502;545;398;470;522;643;451;77;245;483;439;460;48;257;226;89;138
Alex Jones Karaoke,98,PERSON,468;509;143;496;112;487;124;453;123;136;454;526;158;137;399;516;426;445;144;458;402;68;118;541;155;494;589;469;508;99;149;551;585;436;410;210;643;428;113;163;624;427;483;492;493;513;448;383;529;415;138
Alex Jones',91,PERSON;ORG,230a;418;586;443;227;158;387;312;47;308;272;49;237;67;131;461;654;514;186;133;415;230c;320;582;393;572;397;118;583;321;57;277;155;130e;270;275;543;384;249;520;335;448;52;59;423;474;141;232;571;569;367;230b;347;364;359;404;230e;417;230d;132;130a;602;338;475;6;336;342;439;4;409;396;373;114;486;239;566;392;314;130c;148;319;340;575;375;221;488;276;130b;244
Project Camelot,87,ORG,284;187;302;250;437;156;193;431;159;87;23;507;324;201;293;332;359;313;291;204;353;419;271;372;400;629;177;207;229;479;149;125;280;153;67;60;223;595;405;212;79;95;260;217;171;335;476;362
Bill Gates,77,PERSON;ORG,463;510;549;433;496;531;437;530;612;422;453;480;517;430;540;440;515;432;556;490;417;478;438;305;425;270;444;357;532;585;626;535;322;436;410;545;547;632;624;427;483;492;553;442;450;416;506;421;326;435;464
Steve Pieczenik,73,PERSON,150;90;107;139;373;352;641;523;393;151;78;480;443;527;80;473;98;387;399;406;408;445;402;464;354;382;369;500;494;343;340;338;115;508;384;339;502;131;535;568;522;520;245;77;513;346;93;386;412;121;138
Time Travel,61,ORG,560;591;605;107;613;474;42;636;571;601;655;36;124;123;581;454;566;634;537;574;617;128;98;119;558;105;564;610;555;148;579;481;599;84;606;622;592;552;255;645;548;544;535;623;650;244;113;75;169;493;542;198;628;265;121;172
Donald Trump,56,PERSON,150;103;40;141;76;41;46;330;36;151;259;517;574;56;47;380;49;86;5;251;148;57;155;270;226;489;577;233;74;93;48;52;45;80
