title,release_date,libsyn_page,download_link
"#1: January 2, 2017","Jan 7, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-2-2017,https://traffic.libsyn.com/secure/knowledgefight/Episode1-2-17.mp3
"#2: December 31, 1999 (Y2K)","Jan 10, 2017",https://knowledgefight.libsyn.com/knowledge-fight-dec-31-1999-y2k,https://traffic.libsyn.com/secure/knowledgefight/EpisodeY2K.mp3
#3: The Secret of 2017,"Jan 16, 2017",https://knowledgefight.libsyn.com/the-secret-of-2017,https://traffic.libsyn.com/secure/knowledgefight/Episode.mp3
#4: Research and Stand Up,"Jan 18, 2017",https://knowledgefight.libsyn.com/knowledge-fight-research-and-stand-up,https://traffic.libsyn.com/secure/knowledgefight/Episode1-18.mp3
"#5: January 19, 2017","Jan 20, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-19-2017,https://traffic.libsyn.com/secure/knowledgefight/1-19.mp3
#6: Inauguration Speech Recap,"Jan 23, 2017",https://knowledgefight.libsyn.com/knowledge-fight-inauguration-speech-recap,https://traffic.libsyn.com/secure/knowledgefight/Inaug.mp3
"#7: January 23-24, 2017","Jan 26, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-23-24-2017,https://traffic.libsyn.com/secure/knowledgefight/1-23.mp3
"#8: January 26-27, 2017","Feb 1, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-26-27-2017,https://traffic.libsyn.com/secure/knowledgefight/Jan26-27.mp3
#9: Joe Rogan Appearance,"Feb 6, 2017",https://knowledgefight.libsyn.com/knowledge-fight-joe-rogan-appearance,https://traffic.libsyn.com/secure/knowledgefight/Rogan.mp3
"#10: February 6, 2017","Feb 8, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-6-2017,https://traffic.libsyn.com/secure/knowledgefight/2-6-17.mp3
InfoWars Roulette #1,"Feb 10, 2017",https://knowledgefight.libsyn.com/knowledge-fight-infowars-roulette-1,https://traffic.libsyn.com/secure/knowledgefight/DavidKnightMini.mp3
"#11: February 10, 2017","Feb 13, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-10-2017,https://traffic.libsyn.com/secure/knowledgefight/Feb10.mp3
#12: Jon Rappoport,"Feb 15, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jon-rappoport,https://traffic.libsyn.com/secure/knowledgefight/Rappaport.mp3
"#13: February 14, 2017","Feb 16, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-14-2017,https://traffic.libsyn.com/secure/knowledgefight/Feb14.mp3
"#14: February 17, 2017","Feb 20, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-17-2017,https://traffic.libsyn.com/secure/knowledgefight/Feb17.mp3
"#15: February 20-21, 2017","Feb 22, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-20-21-2017,https://traffic.libsyn.com/secure/knowledgefight/MonTues.mp3
"#16: February 24, 2017","Feb 27, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-24-2017,https://traffic.libsyn.com/secure/knowledgefight/Feb24.mp3
"#17: February 7, 2017","Mar 1, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-7-2017,https://traffic.libsyn.com/secure/knowledgefight/Feb7.mp3
"#18: March 1, 2017/Super Bowl Bonus","Mar 3, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-1-2017super-bowl-bonus,https://traffic.libsyn.com/secure/knowledgefight/March1.mp3
"#19: March 3, 2017","Mar 6, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-3-2017,https://traffic.libsyn.com/secure/knowledgefight/March3.mp3
#20: March 6 & Celebrity Cameos,"Mar 13, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-6-celebrity-cameos,https://traffic.libsyn.com/secure/knowledgefight/Mar6-8.mp3
"#21: March 9, 2017","Mar 14, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-9-2017,https://traffic.libsyn.com/secure/knowledgefight/Mar9.mp3
"#22: March 14, 2017","Mar 16, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-14-2017,https://traffic.libsyn.com/secure/knowledgefight/Mar14.mp3
"#23: March 16-17, 2017","Mar 20, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-16-17-2017,https://traffic.libsyn.com/secure/knowledgefight/March16-17.mp3
